Temps simulation; 40h;;;;;; 80h;;;;;; 160h;;;;;; 240h;;;;;;
Variable; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus; TmpMoyenAvContr; TailleMoyFileC; TmpMoyenAvRep; TailleMoyFileR; TauxUtilCentreRep; NbBus;
Simulation n°347;0.765; 0.842; 0.103; 0.023; 0.397;44; 3.904; 5.954; 3.886; 1.943; 0.894;122; 1.903; 2.498; 4.487; 1.935; 0.883;210; 2.878; 4.017; 2.945; 1.031; 0.71;335; 
Simulation n°348;2.396; 3.535; 5.029; 3.018; 0.952;59; 1.77; 2.124; 1.013; 0.355; 0.718;96; 2.459; 3.504; 2.287; 1.072; 0.905;228; 2.609; 3.457; 2.843; 1.066; 0.761;318; 
Simulation n°349;1.126; 1.491; 2.482; 1.055; 0.812;53; 2.093; 2.774; 1.374; 0.464; 0.671;106; 2.593; 3.614; 1.458; 0.501; 0.724;223; 1.248; 1.576; 0.38; 0.119; 0.614;303; 
Simulation n°350;0.462; 0.554; 0.129; 0.029; 0.406;48; 1.769; 2.388; 3.565; 1.694; 0.924;108; 3.555; 5.044; 5.064; 2.12; 0.847;227; 8.118; 11.805; 2.388; 0.985; 0.826;349; 
Simulation n°351;2.257; 3.273; 5.352; 2.81; 0.911;58; 1.21; 1.559; 2.517; 1.007; 0.699;103; 2.23; 3.108; 1.8; 0.641; 0.747;223; 1.182; 1.477; 1.344; 0.504; 0.767;300; 
Simulation n°352;0.532; 0.559; 2.253; 0.845; 0.617;42; 2.082; 2.863; 1.288; 0.515; 0.784;110; 4.975; 6.374; 1.179; 0.427; 0.725;205; 1.895; 2.535; 3.187; 1.315; 0.839;321; 
Simulation n°353;2.05; 3.024; 2.233; 1.005; 0.693;59; 1.812; 2.581; 1.067; 0.44; 0.849;114; 1.413; 1.916; 2.464; 0.97; 0.817;217; 4.789; 7.124; 1.904; 0.714; 0.748;357; 
Simulation n°354;0.79; 0.909; 2.911; 1.237; 0.917;46; 1.954; 2.613; 1.955; 0.904; 0.894;107; 1.345; 1.623; 1.738; 0.619; 0.723;193; 3.19; 4.213; 1.545; 0.554; 0.702;317; 
Simulation n°355;0.338; 0.422; 1.074; 0.483; 0.856;50; 0.436; 0.436; 0.365; 0.105; 0.534;80; 4.18; 5.983; 5.087; 2.067; 0.812;229; 2.27; 2.903; 1.629; 0.631; 0.81;307; 
Simulation n°356;1.018; 1.425; 1.609; 0.603; 0.677;56; 2.587; 3.428; 1.412; 0.512; 0.77;106; 3.8; 5.13; 3.376; 1.54; 0.918;216; 1.913; 2.454; 1.456; 0.54; 0.753;308; 
Simulation n°357;1.473; 2.099; 0.822; 0.308; 0.753;57; 2.166; 3.141; 3.135; 1.293; 0.898;116; 2.722; 3.641; 2.323; 0.915; 0.789;214; 3.84; 5.039; 10.052; 4.524; 0.921;315; 
Simulation n°358;2.125; 2.922; 0.399; 0.13; 0.732;55; 2.365; 3.459; 1.938; 0.751; 0.799;117; 2.135; 3.03; 2.007; 0.815; 0.86;227; 1.981; 2.724; 2.496; 0.915; 0.748;330; 
Simulation n°359;0.383; 0.392; 0.0; 0.0; 0.466;41; 2.825; 3.849; 1.405; 0.474; 0.705;109; 3.179; 4.271; 1.049; 0.361; 0.757;215; 2.956; 4.04; 1.432; 0.561; 0.742;328; 
Simulation n°360;1.992; 2.59; 0.568; 0.199; 0.635;52; 2.941; 3.823; 1.416; 0.531; 0.76;104; 1.647; 2.213; 1.328; 0.44; 0.666;215; 1.869; 2.391; 1.667; 0.646; 0.812;307; 
Simulation n°361;1.574; 2.322; 2.777; 1.527; 0.862;59; 2.848; 4.058; 6.309; 2.997; 0.8;114; 1.488; 1.971; 3.077; 1.269; 0.784;212; 2.387; 3.53; 19.119; 9.56; 0.973;355; 
Simulation n°362;2.355; 3.473; 0.756; 0.246; 0.702;59; 1.607; 2.23; 1.061; 0.424; 0.741;111; 1.587; 2.053; 2.569; 1.012; 0.811;207; 2.569; 3.403; 2.601; 1.095; 0.853;318; 
Simulation n°363;1.75; 2.801; 0.787; 0.295; 0.745;64; 0.912; 0.901; 0.225; 0.076; 0.645;79; 2.328; 3.23; 1.311; 0.566; 0.836;222; 1.757; 2.32; 1.239; 0.439; 0.738;317; 
Simulation n°364;1.885; 2.498; 1.644; 0.74; 0.807;53; 0.95; 1.117; 1.315; 0.362; 0.52;94; 7.754; 11.05; 1.604; 0.541; 0.733;228; 1.335; 1.619; 1.258; 0.409; 0.644;291; 
Simulation n°365;0.673; 0.723; 1.851; 0.787; 0.795;43; 1.318; 1.697; 2.875; 1.33; 0.825;103; 1.354; 1.574; 5.117; 2.239; 0.875;186; 1.899; 2.516; 3.601; 1.575; 0.823;318; 
Simulation n°366;2.216; 3.213; 0.892; 0.335; 0.747;58; 5.27; 7.708; 0.384; 0.13; 0.629;117; 3.802; 5.062; 3.187; 1.315; 0.859;213; 2.119; 2.843; 3.249; 1.272; 0.762;322; 
Simulation n°367;1.552; 2.095; 0.824; 0.288; 0.645;54; 1.8; 2.34; 4.418; 1.988; 0.819;104; 4.327; 6.084; 1.255; 0.494; 0.799;225; 1.817; 2.324; 1.77; 0.679; 0.772;307; 
Simulation n°368;2.254; 3.268; 0.51; 0.204; 0.715;58; 0.684; 0.761; 1.944; 0.68; 0.674;89; 1.681; 2.174; 1.459; 0.556; 0.739;207; 1.681; 2.207; 4.653; 2.055; 0.925;315; 
Simulation n°369;2.93; 4.615; 2.245; 0.898; 0.632;63; 1.637; 2.271; 1.549; 0.6; 0.681;111; 2.517; 3.539; 3.315; 1.533; 0.903;225; 0.866; 1.061; 2.547; 0.944; 0.753;294; 
Simulation n°370;1.848; 2.633; 1.398; 0.559; 0.637;57; 1.111; 1.375; 1.366; 0.495; 0.733;99; 3.852; 5.585; 3.795; 1.755; 0.882;232; 3.388; 4.461; 2.983; 1.119; 0.782;316; 
Simulation n°371;1.215; 1.731; 0.325; 0.097; 0.497;57; 1.247; 1.745; 0.711; 0.258; 0.606;112; 1.424; 1.798; 3.721; 1.465; 0.84;202; 4.526; 6.639; 6.093; 2.513; 0.814;352; 
Simulation n°372;1.933; 3.141; 1.712; 0.556; 0.42;65; 1.564; 1.915; 1.183; 0.385; 0.695;98; 1.865; 2.459; 1.091; 0.327; 0.587;211; 0.974; 1.153; 0.778; 0.246; 0.648;284; 
Simulation n°373;0.957; 1.292; 2.222; 0.944; 0.786;54; 0.944; 1.298; 1.128; 0.479; 0.738;110; 0.976; 1.123; 0.909; 0.312; 0.706;184; 3.488; 5.16; 5.531; 2.604; 0.948;355; 
Simulation n°374;2.132; 3.091; 1.211; 0.333; 0.572;58; 1.292; 1.842; 2.496; 1.092; 0.783;114; 2.507; 3.432; 1.297; 0.502; 0.769;219; 6.151; 8.433; 4.586; 2.102; 0.896;329; 
Simulation n°375;4.375; 7.548; 0.848; 0.297; 0.65;69; 1.255; 1.772; 3.605; 1.532; 0.843;113; 2.789; 3.905; 1.483; 0.603; 0.776;224; 1.301; 1.572; 1.365; 0.574; 0.826;290; 
Simulation n°376;1.867; 2.147; 0.56; 0.154; 0.545;46; 2.284; 3.255; 1.358; 0.458; 0.74;114; 1.082; 1.447; 1.429; 0.554; 0.755;214; 2.32; 3.123; 1.598; 0.626; 0.803;323; 
Simulation n°377;1.534; 2.071; 0.89; 0.312; 0.726;54; 2.206; 2.895; 1.418; 0.567; 0.823;105; 3.049; 3.926; 0.575; 0.205; 0.712;206; 2.586; 3.545; 12.353; 6.331; 0.973;329; 
Simulation n°378;1.237; 1.671; 0.883; 0.243; 0.569;54; 1.12; 1.302; 2.85; 1.033; 0.744;93; 0.772; 0.926; 2.344; 0.952; 0.834;192; 4.563; 6.579; 3.119; 1.338; 0.869;346; 
Simulation n°379;1.302; 1.953; 0.557; 0.223; 0.692;60; 4.113; 5.963; 1.005; 0.251; 0.532;116; 3.804; 5.302; 2.65; 1.143; 0.881;223; 1.67; 2.123; 2.595; 1.016; 0.813;305; 
Simulation n°380;1.202; 1.652; 0.28; 0.084; 0.558;55; 1.895; 2.464; 2.647; 1.158; 0.839;104; 2.189; 3.011; 1.788; 0.704; 0.811;220; 3.899; 5.312; 4.355; 1.688; 0.804;327; 
Simulation n°381;1.052; 1.394; 1.398; 0.524; 0.7;53; 1.201; 1.532; 1.552; 0.601; 0.83;102; 2.607; 3.52; 1.235; 0.502; 0.78;216; 2.847; 3.82; 0.738; 0.246; 0.67;322; 
Simulation n°382;1.972; 2.958; 0.0; 0.0; 0.287;60; 0.959; 1.187; 1.216; 0.411; 0.705;99; 3.352; 4.504; 1.671; 0.679; 0.853;215; 1.834; 2.285; 1.081; 0.369; 0.684;299; 
Simulation n°383;2.434; 3.651; 3.994; 1.897; 0.861;60; 1.194; 1.448; 4.615; 2.077; 0.862;97; 0.829; 0.969; 2.038; 0.739; 0.728;187; 2.786; 3.494; 2.569; 0.963; 0.74;301; 
Simulation n°384;2.401; 3.181; 1.284; 0.578; 0.827;53; 0.826; 0.981; 0.311; 0.101; 0.597;95; 2.475; 3.249; 1.522; 0.628; 0.801;210; 5.278; 7.169; 2.945; 1.203; 0.798;326; 
Simulation n°385;0.719; 0.845; 0.321; 0.112; 0.722;47; 2.635; 3.953; 2.278; 0.911; 0.773;120; 6.819; 9.546; 1.755; 0.702; 0.804;224; 2.136; 2.999; 1.736; 0.637; 0.689;337; 
Simulation n°386;1.301; 1.886; 2.968; 1.632; 0.796;58; 4.744; 6.701; 1.783; 0.758; 0.721;113; 1.955; 2.505; 2.901; 1.052; 0.776;205; 1.742; 2.352; 3.153; 1.366; 0.854;324; 
Simulation n°387;0.679; 0.865; 1.814; 0.544; 0.623;51; 1.354; 1.929; 1.931; 0.845; 0.851;114; 2.725; 3.712; 0.928; 0.365; 0.732;218; 2.463; 3.14; 1.6; 0.533; 0.683;306; 
Simulation n°388;1.029; 1.312; 0.466; 0.14; 0.571;51; 1.151; 1.409; 0.987; 0.308; 0.695;98; 2.579; 3.465; 1.027; 0.308; 0.611;215; 1.916; 2.467; 1.597; 0.586; 0.747;309; 
Simulation n°389;1.128; 1.354; 0.0; 0.0; 0.379;48; 4.041; 6.667; 5.008; 2.629; 0.975;132; 6.558; 9.878; 2.364; 0.99; 0.846;241; 2.039; 2.642; 1.647; 0.563; 0.697;311; 
Simulation n°390;0.327; 0.302; 0.0; 0.0; 0.356;37; 2.306; 3.228; 1.775; 0.821; 0.845;112; 2.954; 4.192; 3.342; 1.421; 0.842;227; 1.996; 2.67; 1.824; 0.669; 0.763;321; 
Simulation n°391;2.453; 3.189; 0.058; 0.016; 0.507;52; 1.641; 2.175; 0.752; 0.32; 0.758;106; 1.446; 1.834; 1.326; 0.505; 0.765;203; 2.057; 2.683; 4.355; 1.742; 0.775;313; 
Simulation n°392;0.779; 1.012; 3.792; 1.612; 0.774;52; 2.165; 3.112; 8.991; 4.72; 0.862;115; 2.288; 2.888; 3.237; 1.173; 0.745;202; 2.46; 3.587; 2.226; 0.909; 0.798;350; 
Simulation n°393;2.07; 3.311; 1.529; 0.726; 0.927;64; 1.504; 2.012; 2.234; 0.866; 0.689;107; 2.394; 3.098; 2.871; 1.184; 0.815;207; 4.468; 5.939; 2.226; 0.853; 0.789;319; 
Simulation n°394;3.758; 6.483; 2.574; 1.158; 0.64;69; 1.123; 1.375; 0.889; 0.3; 0.661;98; 0.9; 1.17; 0.717; 0.264; 0.715;208; 1.241; 1.417; 1.686; 0.576; 0.696;274; 
Simulation n°395;1.153; 1.586; 1.062; 0.451; 0.7;55; 6.453; 10.164; 4.14; 1.604; 0.792;126; 5.294; 7.08; 3.408; 1.086; 0.562;214; 1.96; 2.532; 1.915; 0.782; 0.821;310; 
Simulation n°396;1.518; 2.05; 0.514; 0.18; 0.646;54; 2.546; 3.597; 1.022; 0.422; 0.785;113; 2.668; 3.836; 2.65; 1.077; 0.845;230; 1.528; 2.057; 2.236; 0.838; 0.743;323; 
Simulation n°397;0.676; 0.845; 0.874; 0.306; 0.744;50; 1.205; 1.687; 1.491; 0.596; 0.726;112; 2.514; 3.346; 2.309; 0.996; 0.875;213; 4.448; 5.967; 2.383; 0.933; 0.815;322; 
Simulation n°398;0.351; 0.378; 0.045; 0.014; 0.539;43; 8.373; 13.188; 2.747; 1.305; 0.951;126; 2.654; 3.617; 2.833; 1.169; 0.792;218; 2.088; 2.689; 2.559; 0.959; 0.725;309; 
Simulation n°399;3.696; 5.728; 0.013; 0.004; 0.621;62; 2.393; 3.2; 2.636; 1.285; 0.819;107; 4.892; 7.002; 2.949; 1.18; 0.786;229; 2.672; 3.385; 1.077; 0.386; 0.738;304; 
Simulation n°400;0.922; 1.268; 1.735; 0.651; 0.808;55; 1.334; 1.834; 1.576; 0.65; 0.781;110; 1.493; 1.913; 2.574; 1.11; 0.808;205; 1.938; 2.48; 1.834; 0.833; 0.909;307; 
Simulation n°401;0.226; 0.203; 0.481; 0.169; 0.613;36; 1.628; 2.055; 0.71; 0.195; 0.559;101; 2.795; 3.843; 1.867; 0.7; 0.687;220; 2.247; 2.968; 1.437; 0.527; 0.742;317; 
Simulation n°402;1.404; 1.72; 0.373; 0.131; 0.654;49; 1.67; 2.151; 1.408; 0.511; 0.682;103; 2.016; 2.634; 0.719; 0.252; 0.725;209; 2.207; 2.897; 1.399; 0.501; 0.709;315; 
Simulation n°403;0.978; 1.174; 1.233; 0.37; 0.549;48; 0.918; 1.078; 1.662; 0.582; 0.68;94; 1.765; 2.295; 1.571; 0.658; 0.847;208; 1.913; 2.352; 3.614; 1.25; 0.721;295; 
Simulation n°404;0.826; 1.198; 1.888; 0.897; 0.872;58; 0.977; 1.282; 1.34; 0.469; 0.642;105; 4.068; 5.848; 1.206; 0.445; 0.766;230; 3.404; 4.695; 2.45; 1.0; 0.801;331; 
Simulation n°405;1.727; 2.547; 2.117; 0.741; 0.702;59; 2.233; 2.679; 4.145; 1.399; 0.693;96; 1.724; 2.489; 2.785; 1.062; 0.798;231; 2.138; 2.815; 3.199; 1.28; 0.776;316; 
Simulation n°406;2.068; 2.791; 2.309; 1.039; 0.859;54; 0.938; 1.22; 1.652; 0.619; 0.646;104; 1.801; 2.443; 2.057; 0.861; 0.817;217; 1.575; 2.001; 3.22; 1.342; 0.813;305; 
Simulation n°407;2.481; 3.659; 1.04; 0.468; 0.853;59; 1.609; 2.031; 4.553; 2.049; 0.864;101; 2.325; 3.037; 0.778; 0.263; 0.65;209; 1.626; 2.066; 1.543; 0.534; 0.711;305; 
Simulation n°408;1.256; 1.602; 0.597; 0.254; 0.768;51; 2.152; 3.04; 1.691; 0.592; 0.697;113; 1.761; 2.311; 1.262; 0.465; 0.702;210; 4.57; 6.284; 11.823; 5.567; 0.904;330; 
Simulation n°409;2.188; 3.61; 0.134; 0.033; 0.473;66; 1.419; 1.986; 0.601; 0.203; 0.664;112; 2.443; 3.543; 4.19; 1.886; 0.827;232; 1.937; 2.574; 2.971; 1.226; 0.84;319; 
Simulation n°410;2.379; 3.629; 3.546; 1.862; 0.737;61; 1.002; 1.34; 2.757; 1.241; 0.86;107; 2.466; 3.082; 0.8; 0.195; 0.514;200; 4.312; 5.569; 2.292; 0.831; 0.76;310; 
Simulation n°411;0.792; 1.07; 1.204; 0.391; 0.736;54; 1.138; 1.351; 0.703; 0.202; 0.601;95; 1.005; 1.168; 1.396; 0.436; 0.619;186; 2.986; 3.956; 9.378; 4.572; 0.924;318; 
Simulation n°412;0.613; 0.813; 0.225; 0.073; 0.631;53; 1.237; 1.515; 1.098; 0.412; 0.726;98; 1.253; 1.637; 3.803; 1.64; 0.869;209; 1.737; 2.403; 13.784; 6.72; 0.966;332; 
Simulation n°413;0.982; 1.374; 2.023; 0.607; 0.591;56; 1.82; 2.571; 4.055; 1.876; 0.828;113; 1.161; 1.444; 0.852; 0.287; 0.683;199; 3.309; 4.536; 2.95; 1.168; 0.789;329; 
Simulation n°414;1.133; 1.643; 0.41; 0.102; 0.488;58; 1.046; 1.216; 0.855; 0.257; 0.543;93; 2.254; 3.099; 1.439; 0.558; 0.757;220; 1.846; 2.454; 2.328; 0.941; 0.826;319; 
Simulation n°415;0.839; 0.943; 0.692; 0.259; 0.691;45; 2.707; 4.23; 6.413; 2.886; 0.764;125; 6.546; 10.432; 1.76; 0.737; 0.818;255; 2.567; 3.402; 4.563; 1.787; 0.824;318; 
Simulation n°416;1.467; 2.017; 1.59; 0.556; 0.72;55; 2.029; 2.993; 1.978; 0.915; 0.846;118; 3.625; 5.324; 0.988; 0.383; 0.751;235; 3.412; 4.677; 3.89; 1.507; 0.775;329; 
Simulation n°417;2.251; 3.545; 0.494; 0.198; 0.698;63; 1.734; 2.059; 3.687; 1.429; 0.781;95; 2.577; 3.415; 2.512; 0.926; 0.782;212; 2.941; 4.141; 3.056; 1.324; 0.892;338; 
Simulation n°418;0.92; 1.196; 2.811; 1.265; 0.735;52; 1.298; 1.574; 6.956; 3.043; 0.847;97; 2.259; 3.177; 2.507; 1.05; 0.84;225; 1.442; 2.019; 4.622; 1.714; 0.779;336; 
Simulation n°419;0.418; 0.46; 0.284; 0.092; 0.573;44; 3.48; 4.785; 0.582; 0.218; 0.755;110; 0.909; 1.136; 2.425; 0.94; 0.747;200; 1.293; 1.622; 1.983; 0.711; 0.742;301; 
Simulation n°420;1.42; 1.669; 0.81; 0.284; 0.654;47; 7.042; 10.123; 1.755; 0.724; 0.79;115; 1.857; 2.53; 4.176; 1.827; 0.892;218; 1.347; 1.791; 3.971; 1.572; 0.758;319; 
Simulation n°421;0.661; 0.793; 2.229; 0.891; 0.742;48; 1.571; 2.16; 0.478; 0.12; 0.498;110; 2.79; 3.714; 1.938; 0.751; 0.782;213; 6.735; 9.934; 6.445; 3.061; 0.902;354; 
Simulation n°422;2.152; 3.389; 2.75; 1.306; 0.872;63; 1.49; 1.881; 2.117; 0.82; 0.784;101; 1.185; 1.526; 1.56; 0.614; 0.792;206; 3.977; 5.17; 3.33; 1.346; 0.833;312; 
Simulation n°423;1.456; 1.929; 1.42; 0.603; 0.796;53; 3.12; 4.679; 2.719; 1.155; 0.829;120; 2.628; 3.695; 5.5; 2.131; 0.83;225; 1.385; 1.8; 1.887; 0.739; 0.806;312; 
Simulation n°424;1.514; 1.893; 0.882; 0.375; 0.742;50; 1.791; 2.417; 4.123; 1.546; 0.795;108; 3.433; 4.613; 7.479; 3.365; 0.887;215; 1.019; 1.273; 2.835; 1.24; 0.85;300; 
Simulation n°425;1.691; 2.114; 0.228; 0.074; 0.655;50; 4.495; 6.292; 1.857; 0.789; 0.79;112; 2.072; 2.564; 3.612; 1.332; 0.755;198; 1.952; 2.57; 1.558; 0.597; 0.768;316; 
Simulation n°426;4.018; 6.53; 3.63; 1.543; 0.782;65; 1.965; 2.579; 1.359; 0.459; 0.699;105; 1.576; 1.871; 0.356; 0.105; 0.602;190; 2.56; 3.295; 5.068; 2.006; 0.785;309; 
Simulation n°427;4.143; 6.008; 0.0; 0.0; 0.442;58; 0.514; 0.682; 3.301; 1.486; 0.839;106; 1.826; 2.396; 8.373; 3.768; 0.929;210; 1.845; 2.337; 2.718; 0.94; 0.751;304; 
Simulation n°428;1.019; 1.426; 1.365; 0.682; 0.747;56; 4.478; 6.886; 0.557; 0.237; 0.768;123; 1.992; 2.577; 0.742; 0.241; 0.673;207; 1.433; 1.719; 2.135; 0.747; 0.697;288; 
Simulation n°429;1.326; 1.824; 0.359; 0.099; 0.482;55; 1.751; 2.255; 1.261; 0.536; 0.783;103; 4.94; 7.317; 3.189; 1.315; 0.831;237; 3.51; 5.046; 4.392; 1.848; 0.872;345; 
Simulation n°430;3.92; 6.075; 0.622; 0.264; 0.715;62; 0.675; 0.776; 0.53; 0.139; 0.513;92; 1.422; 1.876; 1.639; 0.727; 0.835;211; 1.626; 2.147; 1.504; 0.627; 0.831;317; 
Simulation n°431;0.752; 0.847; 1.205; 0.422; 0.69;45; 1.224; 1.485; 1.51; 0.604; 0.803;97; 3.409; 4.773; 8.423; 4.212; 0.981;224; 1.673; 2.175; 1.835; 0.742; 0.822;312; 
Simulation n°432;0.345; 0.354; 0.344; 0.103; 0.571;41; 0.872; 1.101; 7.702; 3.947; 0.939;101; 2.535; 3.406; 0.785; 0.28; 0.718;215; 2.142; 3.062; 6.773; 2.991; 0.912;343; 
Simulation n°433;0.865; 1.211; 0.821; 0.39; 0.804;56; 0.578; 0.664; 1.105; 0.332; 0.56;92; 1.205; 1.528; 0.543; 0.146; 0.558;203; 1.749; 2.15; 2.795; 1.095; 0.821;295; 
Simulation n°434;0.748; 0.954; 0.0; 0.0; 0.317;51; 1.579; 2.389; 2.364; 1.005; 0.84;121; 0.978; 1.113; 1.409; 0.449; 0.668;182; 1.337; 1.688; 0.886; 0.295; 0.683;303; 
Simulation n°435;1.156; 1.502; 1.185; 0.415; 0.782;52; 0.937; 1.137; 0.742; 0.232; 0.658;97; 3.256; 4.456; 2.875; 1.132; 0.777;219; 1.995; 2.403; 0.445; 0.122; 0.554;289; 
Simulation n°436;1.298; 1.753; 1.807; 0.768; 0.774;54; 0.926; 1.169; 1.196; 0.449; 0.719;101; 2.087; 2.609; 1.329; 0.581; 0.855;200; 2.356; 3.024; 2.271; 0.852; 0.77;308; 
Simulation n°437;0.786; 0.983; 0.885; 0.398; 0.727;50; 1.183; 1.611; 0.599; 0.202; 0.689;109; 3.437; 5.198; 3.846; 1.587; 0.752;242; 3.498; 4.737; 1.984; 0.818; 0.842;325; 
Simulation n°438;2.285; 3.427; 1.267; 0.443; 0.708;60; 3.427; 5.268; 4.236; 1.747; 0.857;123; 2.837; 3.954; 2.056; 0.784; 0.746;223; 1.169; 1.48; 1.691; 0.571; 0.729;304; 
Simulation n°439;0.613; 0.782; 2.234; 1.005; 0.871;51; 1.109; 1.317; 1.807; 0.745; 0.811;95; 2.36; 3.201; 2.058; 0.798; 0.837;217; 1.666; 2.117; 2.48; 0.951; 0.782;305; 
Simulation n°440;1.72; 2.622; 0.313; 0.094; 0.578;61; 1.354; 1.794; 0.852; 0.245; 0.595;106; 4.306; 5.947; 0.76; 0.261; 0.715;221; 1.622; 2.122; 0.996; 0.378; 0.774;314; 
Simulation n°441;0.46; 0.517; 0.384; 0.125; 0.606;45; 1.626; 2.358; 0.753; 0.245; 0.653;116; 1.607; 2.049; 0.791; 0.242; 0.598;204; 2.288; 3.183; 2.37; 0.978; 0.828;334; 
Simulation n°442;1.376; 2.133; 0.337; 0.11; 0.552;62; 4.08; 6.834; 8.424; 4.739; 0.953;134; 2.15; 2.984; 3.374; 1.582; 0.919;222; 1.193; 1.422; 2.728; 1.0; 0.774;286; 
Simulation n°443;3.087; 4.63; 0.622; 0.187; 0.609;60; 1.14; 1.424; 1.081; 0.378; 0.615;100; 0.931; 1.146; 2.415; 0.906; 0.748;197; 2.303; 3.033; 2.248; 0.731; 0.68;316; 
Simulation n°444;2.031; 3.097; 3.113; 1.556; 0.818;61; 1.914; 2.68; 5.062; 2.404; 0.916;112; 1.732; 2.381; 1.356; 0.466; 0.69;220; 1.52; 1.906; 2.804; 1.028; 0.764;301; 
Simulation n°445;1.568; 2.234; 2.333; 1.166; 0.767;57; 2.316; 3.33; 3.597; 1.574; 0.876;115; 2.973; 4.031; 5.527; 2.626; 0.977;217; 2.259; 2.833; 2.537; 0.973; 0.771;301; 
Simulation n°446;1.065; 1.225; 0.102; 0.025; 0.496;46; 1.014; 1.33; 1.221; 0.412; 0.639;105; 1.827; 2.5; 2.934; 1.174; 0.858;219; 2.474; 3.546; 4.227; 1.726; 0.834;344; 
Simulation n°447;0.753; 0.978; 0.905; 0.271; 0.605;52; 1.537; 1.902; 1.392; 0.54; 0.763;99; 2.001; 2.838; 7.493; 3.559; 0.851;227; 3.623; 5.012; 2.683; 1.129; 0.81;332; 
Simulation n°448;3.486; 6.1; 0.871; 0.348; 0.737;70; 2.045; 2.608; 3.701; 1.481; 0.765;102; 4.428; 6.254; 3.368; 1.284; 0.792;226; 1.885; 2.395; 2.26; 0.772; 0.69;305; 
Simulation n°449;0.564; 0.521; 0.218; 0.038; 0.238;37; 0.751; 0.854; 0.681; 0.239; 0.702;91; 1.63; 1.996; 1.065; 0.333; 0.623;196; 2.95; 4.069; 1.23; 0.523; 0.848;331; 
Simulation n°450;0.464; 0.488; 0.0; 0.0; 0.401;42; 3.356; 4.782; 7.874; 4.331; 0.967;114; 3.627; 5.101; 3.154; 1.38; 0.846;225; 2.719; 3.647; 2.725; 1.09; 0.822;322; 
Simulation n°451;0.718; 0.915; 2.538; 0.952; 0.779;51; 2.725; 4.019; 4.32; 1.674; 0.87;118; 1.015; 1.238; 0.685; 0.171; 0.497;195; 2.253; 2.958; 1.493; 0.529; 0.735;315; 
Simulation n°452;0.832; 1.04; 0.598; 0.209; 0.682;50; 1.235; 1.636; 4.478; 2.183; 0.91;106; 0.74; 0.823; 2.222; 0.944; 0.85;178; 1.854; 2.58; 1.698; 0.623; 0.761;334; 
Simulation n°453;1.549; 2.323; 3.562; 1.959; 0.903;60; 0.88; 1.067; 1.126; 0.422; 0.75;97; 2.028; 2.916; 2.244; 0.968; 0.861;230; 2.587; 3.492; 0.701; 0.251; 0.727;324; 
Simulation n°454;0.414; 0.497; 0.446; 0.145; 0.629;48; 4.168; 6.409; 2.124; 0.876; 0.829;123; 0.974; 1.157; 0.644; 0.189; 0.61;190; 1.195; 1.499; 2.493; 0.935; 0.792;301; 
Simulation n°455;0.864; 1.081; 0.817; 0.225; 0.562;50; 1.789; 2.393; 1.341; 0.553; 0.673;107; 1.533; 1.917; 3.525; 1.41; 0.811;200; 2.931; 4.03; 1.862; 0.698; 0.771;330; 
Simulation n°456;1.045; 1.228; 1.267; 0.507; 0.84;47; 0.781; 1.015; 1.356; 0.576; 0.77;104; 0.845; 1.025; 0.64; 0.184; 0.564;194; 2.381; 3.174; 1.194; 0.482; 0.804;320; 
Simulation n°457;0.231; 0.26; 0.63; 0.22; 0.654;45; 1.437; 1.958; 0.248; 0.084; 0.621;109; 1.408; 1.672; 1.925; 0.626; 0.659;190; 2.233; 2.94; 2.346; 0.782; 0.714;316; 
Simulation n°458;1.932; 2.85; 1.592; 0.597; 0.778;59; 1.784; 2.364; 1.982; 0.669; 0.678;106; 6.572; 9.694; 1.152; 0.396; 0.677;236; 3.91; 5.458; 3.206; 1.269; 0.835;335; 
Simulation n°459;0.721; 0.758; 1.442; 0.36; 0.509;42; 1.088; 1.442; 0.398; 0.134; 0.71;106; 1.079; 1.294; 2.781; 0.956; 0.684;192; 1.78; 2.359; 2.737; 1.106; 0.829;318; 
Simulation n°460;2.409; 3.253; 4.535; 2.381; 0.806;54; 1.419; 1.897; 2.716; 1.358; 0.89;107; 2.73; 3.907; 1.435; 0.565; 0.755;229; 1.005; 1.264; 1.045; 0.314; 0.591;302; 
Simulation n°461;2.434; 3.59; 1.154; 0.49; 0.701;59; 2.684; 4.025; 3.031; 1.44; 0.9;120; 3.07; 4.298; 3.063; 1.244; 0.806;224; 1.857; 2.159; 2.271; 0.767; 0.696;279; 
Simulation n°462;0.508; 0.47; 0.222; 0.067; 0.529;37; 1.778; 2.666; 8.927; 4.91; 0.923;120; 2.289; 2.918; 3.701; 1.481; 0.837;204; 2.702; 3.445; 2.87; 1.136; 0.776;306; 
Simulation n°463;1.453; 1.853; 0.724; 0.235; 0.522;51; 2.243; 3.14; 0.349; 0.109; 0.608;112; 1.919; 2.531; 0.83; 0.285; 0.683;211; 2.892; 3.735; 0.992; 0.314; 0.653;310; 
